Sample#,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG,
209,999,0.000257,0.0135,0.000154,0.0553,0.0877,0.86,1.05,0.357,5.86E-64,3.91E-05,0,0,1,1
210,750,0.000255,0.0495,0.00528,0.00261,0.0284,0.57,0.496,0.295,5.61E-09,4.84E-06,0,0,1,1
211,751,0.000138,0.07,0.00279,0.0233,0.05,1.34,0.722,0,6.97E-12,0,0,0,1,0
212,752,8.01E-05,0.016,0.00148,0.0771,0.0307,0.526,0.767,0.193,1.67E-42,1.92E-05,0,0,1,1
213,753,0.000266,0.0919,0.00544,0.0156,0.0893,0.776,0.078,0,1.74E-06,0,0,0,1,0
214,754,0.000212,0.0544,0.000913,0.0647,0.0274,0.594,0.476,0.345,1.77E-09,2.64E-07,0.324,1.32E-09,2,1
215,755,0.00016,0.0868,0.00215,0.0964,0.0744,1.43,0.685,0,2.22E-06,0,0,0,1,0
216,756,0.000273,0.0259,0.00424,0.0898,0.0337,1.07,0.82,0.312,1.45E-30,8.17E-06,0,0,1,1
217,757,0.00014,0.0796,0.00731,0.075,0.0404,0.935,0.734,0.103,4.03E-17,4.72E-05,0,0,1,1
218,758,0.000177,0.0587,0.00861,0.034,0.095,1.32,0,0,0,0,0,0,0,0
219,759,6.59E-05,0.0682,0.00593,0.0115,0.0362,0.581,0.656,0,3.76E-08,0,0,0,1,0
220,760,0.000107,0.0991,0.000129,0.0808,0.0665,0.801,0.824,0.496,5.88E-09,3.08E-05,0.021,3.01E-06,2,1
221,761,0.000298,0.0497,0.00863,0.00805,0.0602,0.684,0.365,0,1.79E-07,0,0,0,1,0
222,762,0.000226,0.0637,0.00312,0.0064,0.0979,1.15,0,0,0,0,0,0,0,0
223,763,0.000204,0.0548,0.00564,0.0675,0.04,0.879,0.783,0.234,1.32E-21,3.13E-05,0,0,1,1
224,764,0.00016,0.0981,0.00953,0.0578,0.0437,0.755,0.714,0,1.77E-10,0,0,0,1,0
225,765,0.000275,0.0178,0.00866,0.0776,0.0826,1.22,0,0,0,0,0,0,0,0
226,766,0.000322,0.0617,0.0078,0.0599,0.0638,1.11,0.746,0,3.28E-08,0,0,0,1,0
227,767,6.45E-05,0.055,0.00788,0.01,0.0892,0.505,0,0,0,0,0,0,0,0
228,768,0.00018,0.0949,0.00875,0.06,0.0812,0.654,0,0,0,0,0,0,0,0
229,769,0.000327,0.0474,0.00962,0.0487,0.0687,1.02,0.693,0,1.65E-08,0,0,0,1,0
230,770,0.000314,0.0209,0.0021,0.0728,0.0866,0.7,0.808,0,9.10E-08,0,0,0,1,0
231,771,0.000337,0.0734,0.00128,0.0564,0.0388,1.35,0.558,0.418,5.81E-09,2.11E-06,0.34,6.55E-09,2,1
232,772,0.000244,0.0214,0.0083,0.0424,0.0746,0.657,0.086,0,2.16E-07,0,0,0,1,0
233,773,0.000191,0.0373,0.00114,0.0281,0.0291,0.856,0.476,0.312,6.18E-09,1.07E-06,0.238,5.91E-09,2,1
