,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
148,119,0.0591,0.00338,0.0494,0.0273,0.772,0.554,0.414,3.30E-09,4.12E-07,0.332,3.17E-09,2,1
149,36,0.0475,0.000418,0.0149,0.0372,1.17,0.644,0.238,8.18E-13,9.14E-06,0,0,1,1
150,96.33333333,0.059,0.0094,0.0129,0.028,0.826,0.726,0.287,1.33E-10,8.48E-06,0,0,1,1
151,64,0.0298,0.00814,0.0199,0.062,1.2,0.107,0,1.91E-07,0,0,0,1,0
152,85,0.0184,0.00525,0.0275,0.0322,1.34,0.763,0.287,7.05E-15,1.05E-05,0,0,1,1
153,77,0.0808,0.00103,0.0447,0.0753,1.07,0.8,0.295,1.20E-09,4.17E-05,0,0,1,1
154,86.66666667,0.027,0.00269,0.0272,0.065,1.06,0.742,0,5.99E-14,0,0,0,1,0
155,23.9,0.0118,0.00816,0.0744,0.0453,0.517,0.07,0,9.15E-08,0,0,0,1,0
156,111,0.0644,0.000541,0.0236,0.0258,0.832,0.398,0.484,6.84E-11,5.37E-09,0.459,7.48E-11,2,1
157,118,0.0844,0.00879,0.0907,0.0398,1.13,0.804,0.336,7.41E-22,2.00E-05,0,0,1,1
158,107.3333333,0.0444,0.00681,0.0694,0.0762,1.42,0.107,0,4.64E-07,0,0,0,1,0
159,85.66666667,0.0135,0.000154,0.0553,0.0877,0.86,1.05,0.357,5.86E-64,3.91E-05,0,0,1,1
160,65.33333333,0.0304,0.00323,0.0799,0.0385,1.26,0.808,0.267,5.65E-32,2.00E-05,0,0,1,1
161,119.6666667,0.0329,0.00808,0.097,0.061,0.805,0.71,0,2.27E-10,0,0,0,1,0
162,49.66666667,0.0763,0.000434,0.0582,0.0864,1.29,0.759,0,2.21E-06,0,0,0,1,0
163,118.3333333,0.0265,0.00584,0.054,0.0382,1.12,0.808,0.328,1.64E-20,1.32E-05,0,0,1,1
164,103.6666667,0.0634,0.000385,0.0402,0.0725,0.625,0.993,0.447,1.55E-23,1.97E-05,0,0,1,1
165,102,0.013,0.00942,0.0206,0.058,1.49,0.689,0,6.09E-10,0,0,0,1,0
166,41.33333333,0.0319,0.0013,0.0174,0.0696,0.754,0.066,0,4.94E-07,0,0,0,1,0
